locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems
1741557,Philz Coffee Truck,Truck,9306000,MONTGOMERY ST: COLUMBUS AVE \ WASHINGTON ST to JACKSON ST (700 - 799),735 MONTGOMERY ST,195001,195,1,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries
963978,Singh Brothers Ice Cream,Truck,6961000,HOLLISTER AVE: HAWES ST to INGALLS ST (1000 - 1099),1000 HOLLISTER AVE,4943002,4943,2,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1153604,SPUNBYSS,Truck,136000,02ND ST: TEHAMA ST to CLEMENTINA ST (224 - 273),240 02ND ST,3735055,3735,55,18MFF-0021,REQUESTED,American classic slider:  fried chicken slider: fried chicken skin: wedge cut fries: regular cut fries: handcrafted sodas: spring salad
1723823,Natan's Catering,Truck,7166000,ILLINOIS ST: MARIPOSA ST \ TERRY A FRANCOIS BLVD to 18TH ST (600 - 699),Assessors Block 3941/Lot001,3941001,3941,1,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1741556,Philz Coffee Truck,Truck,8701000,MARINA BLVD: LAGUNA ST to BEACH ST \ BUCHANAN ST \ LOWER FORT MASON ST (1 - 99),15 MARINA BLVD,446002,446,2,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries
1658694,Bonito Poke,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,239029,239,29,22MFF-00071,REQUESTED,Bonito Poke Bowls & Various Drinks
1039786,Julie's Hot Dogs,,9117000,MISSION ST: 17TH ST to CLARION ALY (2100 - 2131),2101 MISSION ST,3575091,3575,91,17MFF-0196,REQUESTED,Hot dogs: bacon wrap hot dogs: chicken burgers: energy drinks: water & various drinks
963990,Singh Brothers Ice Cream,Truck,7479000,JENNINGS ST: VAN DYKE AVE to WALLACE AVE (2100 - 2199),2115 JENNINGS ST,4828021,4828,21,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1738640,Eva's Catering,Truck,10006000,ORTEGA ST: 18TH AVE to 19TH AVE (1100 - 1199),1100 ORTEGA ST,2055019,2055,19,23MFF-00042,APPROVED,Cold Truck: Burrito: Corn Dog: Salads: Sandwiches: Quesadilla: Tacos: Fried Rice: Cow Mein: Chinese Rice: Noodle Plates: Soup: Bacon: Eggs: Ham: Avacado: Sausages: Beverages
963984,Singh Brothers Ice Cream,Truck,4908000,DONNER AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1475 DONNER AVE,4910023,4910,23,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1575177,Park's Catering,Truck,10397000,PHELPS ST: FAIRFAX AVE to SAM JORDANS WAY (500 - 599),525 PHELPS ST,5242015,5242,15,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1730566,DO UC US Mobile Catering,Truck,8700000,MARIN ST: KANSAS ST to HWY 101 N ON RAMP (2500 - 2599),2590 MARIN ST,4339008,4339,8,23MFF-00015,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks
1738246,Zuri Food Facilities,Truck,12045000,SPEAR ST: MISSION ST to HOWARD ST (100 - 199),100 SPEAR ST,3717001,3717,1,23MFF-00037,APPROVED,Peruvian Food Served Hot
1723820,Natan's Catering,Truck,6759001,HARRISON ST: 26TH ST to KAMILLE CT (3000 - 3048),3040 HARRISON ST,6573001,6573,1,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1340417,Let's Be Frank,Push Cart,6816000,HAYES ST: GOUGH ST to OCTAVIA ST (400 - 499),425 HAYES ST,817025,817,25,19MFF-00104,EXPIRED,Hot dogs and chili
1163799,"SOHOMEI, LLC",Truck,8848000,MASONIC AVE: MCALLISTER ST to FULTON ST (500 - 599),599 MASONIC AVE,1108 012,1108,12,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1723810,Natan's Catering,Truck,188101,03RD ST: 18TH ST to 19TH ST (2101 - 2199) -- EAST --,2101 03RD ST,4045004,4045,4,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1575194,Park's Catering,Truck,9206000,MISSISSIPPI ST: START: 1200-1299 BLOCK to CESAR CHAVEZ ST (1200 - 1299),1200 MISSISSIPPI ST,4288003,4288,3,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
