locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems
1163790,"SOHOMEI, LLC",Truck,12678000,TREAT AVE: DIVISION ST \ FLORIDA ST to ALAMEDA ST (1 - 99),Assessors Block 3902/Lot002,3902002,3902,2,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1585472,"San Francisco Street Foods, Inc.",Push Cart,30735000,NEW MONTGOMERY ST: MARKET ST \ MONTGOMERY ST intersection,2 MONTGOMERY ST,291007,291,7,21MFF-00143,EXPIRED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
1514025,F & C Catering,Truck,10336000,PENNSYLVANIA AVE: 22ND ST to 23RD ST (700 - 899),898 PENNSYLVANIA AVE,4167003,4167,3,21MFF-00035,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad
1660691,"Halal Cart, LLC",Push Cart,9301000,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),400 MONTGOMERY ST,239009,239,9,22MFF-00090,EXPIRED,kebabs: halal gyro: grilled halal meat: refreshments
1735099,Think is Good Inc.,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),430 CALIFORNIA ST,239029,239,29,23MFF-00033,APPROVED,Lobster rolls: crab rolls: lobster burritos: crab burritos: chicken burritos: fish burritos: chicken burritos: poke bowls: soups: chips & soda.
1722089,Casita Vegana,Truck,7553000,JOHN MUIR DR: LAKE MERCED BLVD to SKYLINE BLVD (200 - 699),Assessors Block 7283/Lot004,7283004,7283,4,23MFF-00005,APPROVED,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes
1090081,El Tonayanse #4 / #36,Truck,6740000,HARRISON ST: 13TH ST to 14TH ST (1700 - 1799),1717 HARRISON ST,3901001,3901,1,18MFF-0005,REQUESTED,Tacos: Burritos: Tortas: Quesadillas
959619,"Kabob Trolley, LLC",Push Cart,267001,04TH ST: TOWNSEND ST to KING ST (700 - 799),298 KING ST,8702606,8702,606,17MFF-0177,REQUESTED,Gyros: Kebobs: refreshments and dessert
963987,Singh Brothers Ice Cream,Truck,5599000,FITZGERALD AVE: HAWES ST to INGALLS ST (1100 - 1199),1104 FITZGERALD AVE,4914022,4914,22,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1741512,La Jefa,Truck,2801102,BAY SHORE BLVD: WATERLOO ST to MARENGO ST (501 - 559) -- EAST --,531 BAY SHORE BLVD,5607038,5607,38,23MFF-00044,APPROVED,Tacos: burritos: quesadillas: tortas: nachos (refried beans: cheese sauce: salsa fresca): carnes (beef: chicken: marinated pork: fried pork): canned beans: rice: sodas: horchata drinks.
1575183,Park's Catering,Truck,3376000,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1555 BURKE AVE,5203067,5203,67,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1332941,Mini Mobile Food Catering,Truck,5685000,FOLSOM ST: 12TH ST to 13TH ST (1600 - 1699),1690 FOLSOM ST,3515040,3515,40,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1552671,Izzy's Cheesesteaks,Truck,2754000,BATTERY ST: CALIFORNIA ST to HALLECK ST (200 - 230),255 BATTERY ST,238002,238,2,21MFF-00014,REQUESTED,Cheesesteaks: French Fries: and Drinks
1732544,Bonito Poke,Truck,7165000,ILLINOIS ST: 16TH ST to MARIPOSA ST \ TERRY A FRANCOIS BLVD (400 - 599),409 ILLINOIS ST,3940003,3940,3,23MFF-00016,REQUESTED,Bonito Poke Bowls & Various Drinks
1723807,Natan's Catering,Truck,15019101,MISSION BAY BLVD SOUTH: 03RD ST \ MISSION BAY BLVD to 04TH ST \ MISSION BAY BLVD (501 - 599),Assessors Block 8732/Lot001,8732001,8732,1,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1336743,Quan Catering,Truck,51657000,ALANA WAY: COUNTY LINE intersection,151 EXECUTIVE PARK BLVD,4991089,4991,89,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1163786,"SOHOMEI, LLC",Truck,144000,02ND ST: FEDERAL ST to SOUTH PARK (519 - 548),544 02ND ST,3775005,3775,5,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1723826,Natan's Catering,Truck,797000,17TH ST: MISSION ST to HOFF ST (3300 - 3343),3335 17TH ST,3576086,3576,86,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1728067,Leo's Hot Dogs,Push Cart,9121000,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),2301 MISSION ST,3595031,3595,31,23MFF-00008,APPROVED,Hot dogs and related toppings: non alcoholic beverages
1723824,Natan's Catering,Truck,7174000,ILLINOIS ST: 25TH ST to ILLINOIS ST (1500 - 1599),Assessors Block 4296/Lot010,4296010,4296,10,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1730564,DO UC US Mobile Catering,Truck,185104,03RD ST: MISSION BAY BLVD to WARRIORS WAY (1401 - 1599) -- EAST --,1501 03RD ST,8720013,8720,13,23MFF-00015,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks
1657803,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,6108000,GEARY ST: GRANT AVE to STOCKTON ST (100 - 199),100 GEARY ST,309003,309,3,22MFF-00039,EXPIRED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
1729508,Senor Sisig,Truck,9097000,MISSION ST: 05TH ST to MINT ST (900 - 930),901 MISSION ST,3725093,3725,93,23MFF-00009,APPROVED,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.
1200178,SF Cart Project,Truck,15019101,MISSION BAY BLVD SOUTH: 03RD ST \ MISSION BAY BLVD to 04TH ST \ MISSION BAY BLVD (501 - 599),535 MISSION BAY BLVD SOUTH,8711007,8711,7,18MFF-0094,EXPIRED,7 Multiple Trucks on rotation (1 on Mission Bay Blvd South & 6 on 4th St).   Serving everything but hot dogs
1658366,Treats by the Bay LLC,Truck,10624001,POST ST: MONTGOMERY ST to LICK PL (1 - 40),1 MONTGOMERY ST,292002,292,2,22MFF-00056,EXPIRED,Sandwich: Donuts: Coffee: Soft Serve Ice Cream: Drinks
1163783,"SOHOMEI, LLC",Truck,10477000,PINE ST: POLK ST to VAN NESS AVE (1500 - 1599),1540 PINE ST,646005,646,5,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1575198,Park's Catering,Truck,9563000,NEWHALL ST: MENDELL ST to EVANS AVE (200 - 399),220 NEWHALL ST,5203040,5203,40,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1332944,Mini Mobile Food Catering,Truck,6710000,HARRISON ST: BEALE ST to FREMONT ST \ I-80 W OFF RAMP (300 - 399),355 FREMONT ST,3747 320,3747,320,19MFF-00041,EXPIRED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages
1723819,Natan's Catering,Truck,6721000,HARRISON ST: MERLIN ST to OAK GROVE ST (924 - 950),950 HARRISON ST,3753241,3753,241,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1733451,Papalote Inc.,Truck,12044000,SPEAR ST: MARKET ST to MISSION ST (1 - 99),60 SPEAR ST,3712023,3712,23,23MFF-00024,APPROVED,Mexican
946047,The Huge Hotdog Concession,Truck,10567000,POLK ST: BUSH ST to AUSTIN ST \ FRANK NORRIS ST (1300 - 1329),1300 POLK ST,0668004A,668,004A,17MFF-0139,EXPIRED,Hotdogs: chips: soda: nuts: crackers
1163784,"SOHOMEI, LLC",Truck,13064000,VALENCIA ST: 18TH ST to 19TH ST (700 - 799),740 VALENCIA ST,3588006,3588,6,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1515717,Treats by the Bay LLC,Push Cart,8737101,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,3713006,3713,6,21MFF-00048,EXPIRED,Ice Cream: Donuts
1741654,Truly Food & More,Truck,11544000,SANSOME ST: PINE ST to CALIFORNIA ST (200 - 299),217 SANSOME ST,260004,260,4,23MFF-00046,APPROVED,Latin Food: Tacos: Pupusas: Vegetables: Salad: Waters: Sodas
963979,Singh Brothers Ice Cream,Truck,7252000,INGERSON AVE: JENNINGS ST to 03RD ST (1100 - 1199),1173 INGERSON AVE,4968035,4968,35,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1658392,BH & MT LLC,Truck,6565000,GROVE ST: BRODERICK ST to BAKER ST (1400 - 1499),1477 GROVE ST,1200015,1200,15,22MFF-00059,EXPIRED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages
751253,Pipo's Grill,Truck,5688000,FOLSOM ST: 14TH ST to 15TH ST (1800 - 1899),1800 FOLSOM ST,3549083,3549,83,16MFF-0010,REQUESTED,Tacos: Burritos: Hot Dogs: and Hamburgers
1730565,DO UC US Mobile Catering,Truck,19986000,04TH ST: MISSION BAY BLVD to NELSON RISING LN (1400 - 1499),1420 04TH ST,8716001,8716,1,23MFF-00015,APPROVED,Cold truck: sandwiches: salads: beverages: chips: candy: cookies: coffee: tea: drinks
1042438,Ruru Juice LLC,Truck,12316000,SUTTER ST: SANSOME ST to MONTGOMERY ST (50 - 99),80 SUTTER ST,289005,289,5,17MFF-0198,REQUESTED,Smoothies: Juice: Salads: Fruit Bowls: Soup
1336738,Quan Catering,Truck,2867000,BEALE ST: HARRISON ST to BRYANT ST \ DELANCEY ST (400 - 499),400 BEALE ST,3766012,3766,12,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1591823,Cochinita,Truck,12662000,TOWNSEND ST: LUSK ST to 04TH ST (252 - 299),290 TOWNSEND ST,3787028,3787,28,22MFF-00021,EXPIRED,Mexican Food: Yucatan Food: Street Food
1297766,Tacos Lol-Tun,Truck,2461000,ARMSTRONG AVE: KEITH ST to 03RD ST (1600 - 1699),1610 ARMSTRONG AVE,5419014,5419,14,18MFF-0101,EXPIRED,Tortas: burritos: tacos: ensaladas: sodas
1733788,MOMO INNOVATION LLC,Truck,3525000,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,263011,263,11,23MFF-00029,APPROVED,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles
1336735,Quan Catering,Truck,2471000,CESAR CHAVEZ ST: INDIANA ST to IOWA ST (1300 - 1399),1301 CESAR CHAVEZ ST,4352007,4352,7,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1738308,San Francisco's Hometown Creamery,Truck,6109000,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),281 GEARY ST,314013,314,13,23MFF-00038,APPROVED,Ice Cream & Waffle Cones
1514030,F & C Catering,Truck,9056000,MINNESOTA ST: 20TH ST to 22ND ST (800 - 999),900 MINNESOTA ST,4106001A,4106,001A,21MFF-00035,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad
1723812,Natan's Catering,Truck,2157202,ALEMANY BLVD: FOLSOM ST to ELLSWORTH ST \ I-280 S OFF RAMP \ I-280 S ON RAMP (400 - 498) -- NORTH --,400 ALEMANY BLVD,5843024,5843,24,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1591784,FRUITYMANIA,Push Cart,8747102,MARKET ST: 04TH ST \ ELLIS ST \ STOCKTON ST to POWELL ST (801 - 863) -- SOUTH --,801 MARKET ST,3705Z001,3705Z,1,22MFF-00012,SUSPEND,Fruit Salads: Fruit Drinks: Can Soda: Water
963994,Singh Brothers Ice Cream,Truck,7223000,INGALLS ST: GEORGE CT to OAKDALE AVE (1350 - 1399),1309 INGALLS ST,4714002,4714,2,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1729535,Senor Sisig,Truck,480000,10TH ST: FELL ST \ MARKET ST \ POLK ST to STEVENSON ST (1 - 18),8 10TH ST,3507041,3507,41,23MFF-00012,APPROVED,Senor Sisig: Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.Chairman Bao: Vegetable and meat sandwiches filled with Asian-flavored meats and vegetables.
1729543,Senor Sisig,Truck,10456000,PINE ST: SANSOME ST to CENTURY PL (300 - 340),300 PINE ST,260005,260,5,23MFF-00013,APPROVED,Filipino fusion food: tacos: burritos: nachos: rice plates. Various beverages.
1723811,Natan's Catering,Truck,197101,03RD ST: MARIN ST to ARTHUR AVE \ CARGO WAY (3201 - 3399) -- EAST --,3201 03RD ST,4377001,4377,1,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1658390,BH & MT LLC,Truck,25871000,DOLORES ST: 14TH ST intersection,2001 MARKET ST,3535001,3535,1,22MFF-00059,EXPIRED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages
1534033,"Off the Grid Services, LLC",,9039000,MINNA ST: SHAW ALY to 02ND ST (44 - 99),65 MINNA ST,3721124,3721,124,21MFF-00073,REQUESTED,N/A
1723795,Natan's Catering,Truck,0,,Assessors Block 7295/Lot022,7295022,7295,22,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1660695,Halal Cart of San Francisco,Push Cart,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),400 MONTGOMERY ST,239009,239,9,22MFF-00092,EXPIRED,Halal Gyro over Rice: Halal Chicken over Rice: Halal Gyro: and Chicken Sandwich
1569152,Datam SF LLC dba Anzu To You,Truck,12463000,TAYLOR ST: BAY ST to NORTH POINT ST (2500 - 2599),2535 TAYLOR ST,29007,29,7,21MFF-00106,EXPIRED,Asian Fusion - Japanese Sandwiches/Sliders/Misubi
1730231,Rita's Catering,Truck,9100000,MISSION ST: 06TH ST to 07TH ST (1000 - 1099),1028 MISSION ST,3703033,3703,33,23MFF-00014,APPROVED,Filipino Food
1090089,Tacos El Primo,Truck,10829000,QUINT ST: DAVIDSON AVE to EVANS AVE (300 - 399),1700 EVANS AVE,5227001,5227,1,18MFF-0006,REQUESTED,Mexican food: tacos: burritos: tortas: various meat and chicken and fish plate: chile relleno plate: fish plate: bread: flan: rice pudding: bread: fruit juice: vegetable juice: coffee: tea
1089698,El Tonayense #60,Truck,6752000,HARRISON ST: MISTRAL ST to 20TH ST (2345 - 2399),2355 FOLSOM ST,3593035,3593,35,18MFF-0004,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Drinks
1163792,"SOHOMEI, LLC",Truck,12583000,THOMAS MORE WAY: BROTHERHOOD WAY \ CHUMASERO DR to SAN FRANCISCO GOLF CLUB RD (1 - 99),1 THOMAS MORE WAY,7380027,7380,27,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1735062,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,1428000,25TH ST: ALABAMA ST to HARRISON ST (3042 - 3099),3065 25TH ST,4271038,4271,38,23MFF-00032,APPROVED,Tacos: burritos: soda & juice
1575190,Park's Catering,Truck,7253000,INNES AVE: EARL ST to ARELIOUS WALKER DR (700 - 799),Assessors Block 4644/Lot008,4644008,4644,8,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1738647,Eva's Catering,Truck,7236000,INGALLS ST: CARROLL AVE to DONNER AVE (2600 - 2699),2600 INGALLS ST,4882001,4882,1,23MFF-00043,APPROVED,Corndogs: fried burrito: rice placet: soda: water: sandwiches: soup: noodle plates
1163788,"SOHOMEI, LLC",Truck,9094000,MISSION ST: ANNIE ST to 03RD ST (663 - 699),690 MISSION ST,3707024,3707,24,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1585476,"San Francisco Street Foods, Inc.",Push Cart,10625000,POST ST: KEARNY ST to ROBERT KIRK LN (100 - 140),100 POST ST,294004,294,4,21MFF-00147,EXPIRED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
963983,Singh Brothers Ice Cream,Truck,7492000,JENNINGS ST: KEY AVE to LE CONTE AVE (3400 - 3499),3444 JENNINGS ST,4995005,4995,5,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1723794,Natan's Catering,Truck,0,,Assessors Block 5598/Lot031,5598031,5598,31,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1591842,Tacos Rodriguez,Truck,9794000,OAKDALE AVE: INDUSTRIAL ST \ SELBY ST to TOLAND ST (2100 - 2199),2198 OAKDALE AVE,5590A008,5590A,8,22MFF-00024,SUSPEND,Tacos: burritos: quesadillas: soda & water
1723800,Natan's Catering,Truck,0,,Assessors Block 4046/Lot001,4046001,4046,1,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1723829,Natan's Catering,Truck,9212000,MISSOURI ST: 20TH ST to SIERRA ST (500 - 630),555 MISSOURI ST,4101031,4101,31,23MFF-00006,APPROVED,Burgers: melts: hot dogs: burritos:sandwiches: fries: onion rings: drinks
1660696,Halal Cart of San Francisco,Push Cart,8737101,MARKET ST: STEUART ST to SPEAR ST (1 - 99) -- SOUTH --,1 MARKET ST,3713006,3713,6,22MFF-00092,EXPIRED,Halal Gyro over Rice: Halal Chicken over Rice: Halal Gyro: and Chicken Sandwich
1738310,San Francisco's Hometown Creamery,Truck,3528000,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),425 CALIFORNIA ST,260001,260,1,23MFF-00039,APPROVED,Ice Cream: Waffle Cones
1336744,Quan Catering,Truck,8095000,LANE ST: VAN DYKE AVE to 03RD ST (2100 - 2199),2111 LANE ST,5387022,5387,22,19MFF-00055,EXPIRED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies
1744303,"BOWL'D ACAI, LLC.",Truck,8122000,LARKIN ST: FULTON ST to MCALLISTER ST (200 - 299),200 LARKIN ST,353001,353,1,23MFF-00048,APPROVED,Acai Bowls: Smoothies: Juices
1733798,MOMO INNOVATION LLC,Truck,9094000,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,3722067,3722,67,23MFF-00030,APPROVED,Noodles: Meat & Drinks
1585966,Curry Up Now,Truck,11553000,SANSOME ST: GOLD ST to PACIFIC AVE (705 - 799),727 SANSOME ST,175003,175,3,21MFF-00150,EXPIRED,Indian Street Food: Tikka Masala Burritos
1591841,Tacos Rodriguez,Truck,8958000,MENDELL ST: GALVEZ AVE to HUDSON AVE (600 - 699),600 MENDELL ST,5254037,5254,37,22MFF-00024,SUSPEND,Tacos: burritos: quesadillas: soda & water
1738245,Zuri Food Facilities,Truck,3529000,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,260010,260,10,23MFF-00036,APPROVED,Peruvian Food Served Hot
1744305,"BOWL'D ACAI, LLC.",Truck,9301000,MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),451 MONTGOMERY ST,240001,240,1,23MFF-00049,APPROVED,Acai Bowls: Smoothies: Juices
1741752,San Pancho's Tacos,Truck,3670000,CAPITOL AVE: DE MONTFORT AVE to OCEAN AVE (1200 - 1299),1271 CAPITOL AVE,6935001,6935,1,23MFF-00047,APPROVED,Tacos: Burritos: Quesadillas: Tortas: Nachos: Hot Dogs:Soda: Water: Fruit Drinks
1514031,F & C Catering,Truck,9058000,MINNESOTA ST: 23RD ST to 24TH ST (1200 - 1299),1275 MINNESOTA ST,4229004,4229,4,21MFF-00035,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad
1585967,Curry Up Now,Truck,179000,03RD ST: BRANNAN ST to TOWNSEND ST (600 - 699),601 03RD ST,3788020,3788,20,21MFF-00150,EXPIRED,Indian Street Food: Tikka Masala Burritos
1660642,The Geez Freeze,Truck,887000,18TH ST: DOLORES ST to CHURCH ST (3700 - 3799),3750 18TH ST,3579006,3579,6,22MFF-00086,EXPIRED,Snow Cones: Soft Serve Ice Cream & Frozen Virgin Daiquiris
1735064,"Bay Area Mobile Catering, Inc. dba. Taqueria Angelica's",Truck,9108000,MISSION ST: 10TH ST to 11TH ST (1400 - 1499),1455 MARKET ST,3507040,3507,40,23MFF-00032,APPROVED,Tacos: burritos: soda & juice
1750911,"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",Push Cart,12195000,STOCKTON ST: OFARRELL ST to GEARY ST (100 - 199),101 STOCKTON ST,314002,314,2,23MFF-00057,APPROVED,Soft Pretzels: hot dogs: sausage: chips: popcorn: soda: espresso: cappucino: pastries: ice cream: italian sausages: shish-ka-bob: churros: juice: water: various drinks
1741554,Philz Coffee Truck,Truck,12323000,SUTTER ST: POWELL ST to MASON ST (500 - 599),556 SUTTER ST,284009,284,9,23MFF-00045,APPROVED,Hot coffee: iced coffee: hot chocolate: tea: pastries
1509787,El Gallo Jiro,Truck,1260000,23RD ST: TREAT AVE to FOLSOM ST (3052 - 3099),3055 23RD ST,3640039,3640,39,21MFF-00011,EXPIRED,Burritos: Giros: Tortas: Quesadillas: Tacos & Various Beverages
1568971,Fillmore Square,Truck,5071000,EDDY ST: WEBSTER ST to FILLMORE ST (1400 - 1499),1290 FILLMORE ST,749019,749,19,21MFF-00101,EXPIRED,Breakfast and lunch items with a nod to various cultures
1341056,Kettle Corn Star,Push Cart,8746103,MARKET ST: YERBA BUENA LN to 04TH ST \ ELLIS ST \ STOCKTON ST (767 - 799) -- SOUTH --,773 MARKET ST,3706096,3706,96,19MFF-00105,EXPIRED,Kettle Corn: Funnel Cakes: Lemonade: Beverages: Flan: Hot Dogs: Falafel: Hot and Cold Sandwiches: French Fries: Baklava and Pastries
1514027,F & C Catering,Truck,1403000,25TH ST: MICHIGAN ST to ILLINOIS ST (700 - 799),700 25TH ST,4244004,4244,4,21MFF-00035,EXPIRED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad
963989,Singh Brothers Ice Cream,Truck,13780000,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1420 YOSEMITE AVE,4831012,4831,12,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1089697,El Tonayense #60,Truck,6746000,HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149),401 TREAT AVE,3573023,3573,23,18MFF-0004,REQUESTED,Tacos: Burritos: Tortas: Quesadillas: Drinks
1733610,Buenafe,Truck,10927000,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),220 RANKIN ST,5228001,5228,1,23MFF-00025,APPROVED,Tacos: Burritos: Quesadillas: Tortas
